Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
"2,3,4',6-Tetrachlorobiphenyl",Clc2c(c1ccc(Cl)cc1)c(Cl)ccc2Cl,52663-58-8,5.412,1.082,0.8329165624478847,low-fidelity RED
"2,3,4',5-Tetrachlorobiphenyl",Clc2c(c1ccc(Cl)cc1)cc(Cl)cc2Cl,74472-34-7,5.593,1.12,0.8329165624478847,low-fidelity RED
"2,3,4'-Trichloro-1,1'-Biphenyl",Clc2c(c1ccc(Cl)cc1)cccc2Cl,38444-85-8,5.482,1.077,0.799218368157289,low-fidelity RED
"2,2',3,4',6-Pentachlorobiphenyl",Clc2c(c1ccc(Cl)cc1Cl)c(Cl)ccc2Cl,68194-05-8,5.719,0.9478,0.8077747210701762,low-fidelity RED
"2,2',3,4'-Tetrachlorobiphenyl",Clc2c(c1ccc(Cl)cc1Cl)cccc2Cl,36559-22-5,5.245,1.124,0.7889866919029755,low-fidelity RED
"2,3,3',6-Tetrachlorobiphenyl",Clc2c(c1cccc(Cl)c1)c(Cl)ccc2Cl,74472-33-6,5.579,1.024,0.7754031209635414,low-fidelity RED
"2,2',3,3',5-Pentachlorobiphenyl",Clc2c(c1cccc(Cl)c1Cl)cc(Cl)cc2Cl,60145-20-2,5.688,1.148,0.8077747210701762,low-fidelity RED
"2,2',3,3'-Tetrachloro-1,1'-Biphenyl",Clc2c(c1cccc(Cl)c1Cl)cccc2Cl,38444-93-8,5.165,0.9733,0.7889866919029755,low-fidelity RED
"2,3-Dichloro-1,1'-Biphenyl",Clc2c(c1ccccc1)cccc2Cl,16605-91-7,5.348,0.9273,0.8268917704270612,low-fidelity RED
"2,2',3,6-Tetrachlorobiphenyl",Clc2c(c1ccccc1Cl)c(Cl)ccc2Cl,70362-45-7,5.606,0.9998,0.7846177413237609,low-fidelity RED
"3,3',4,4',5,5'-Hexachloro-1,1'-Biphenyl",Clc2cc(c1cc(Cl)c(Cl)c(Cl)c1)cc(Cl)c2Cl,32774-16-6,5.148,0.9343,0.8958236433584463,low-fidelity RED
